Array Size (B), Bandwidth Mean (GB/s), Bandwidth Variance (GB/s)
4, 0.000305189, 1.4378e-11
8, 0.000606651, 3.0289e-11
16, 0.00120622, 1.8898e-11
32, 0.00241349, 6.11781e-12
64, 0.00483856, 1.35237e-09
128, 0.00967999, 3.04836e-09
256, 0.0193553, 2.28867e-08
512, 0.0389715, 2.30106e-07
1024, 0.0753544, 4.8937e-07
2048, 0.147973, 5.39122e-07
4096, 0.279198, 1.58153e-06
8192, 0.516158, 3.132e-06
16384, 0.871217, 1.74701e-05
32768, 2.02995, 0.000206988
65536, 0.431954, 1.30424
131072, 0.659246, 3.03664
262144, 0.00109222, 8.84904e-08
524288, 0.00218718, 3.56874e-07
1.04858e+06, 0.00437265, 1.43239e-06
2.09715e+06, 0.00876947, 5.77421e-06
4.1943e+06, 0.017538, 2.30624e-05
8.38861e+06, 0.0353744, 9.45068e-05
1.67772e+07, 0.068455, 0.000344794
3.35544e+07, 0.134564, 0.00130552
6.71089e+07, 0.254062, 0.00456283
1.34218e+08, 0.470011, 0.0148186
2.68435e+08, 0.798204, 0.0384895
5.36871e+08, 1.8442, 0.252054
